words,links,capital_words,spam_word_count,is_spam
288,1,2,5,0
194,3,19,3,1
45,2,3,4,0
92,0,4,5,1
69,3,29,3,1
279,2,3,5,1
259,1,3,0,0
107,2,2,1,0
714,10,19,3,1
298,2,6,1,0
351,10,7,4,1
339,2,1,2,0
232,0,0,1,0
115,10,29,8,1
215,2,0,1,0
74,2,0,8,1
63,6,9,8,1
290,0,1,1,0
305,8,12,4,1
151,0,4,2,0
30,0,1,1,0
163,0,10,2,0
730,0,19,8,1
55,4,10,10,1
153,1,8,2,0
293,10,19,2,1
490,1,2,6,0
185,0,3,0,0
909,1,25,4,1
72,2,1,2,0
935,5,18,9,1
170,2,2,2,0
280,1,0,1,0
85,4,16,10,1
276,8,14,6,1
132,0,10,0,0
816,0,20,7,1
176,0,2,0,0
875,2,21,7,1
52,0,2,2,0
130,1,1,0,0
482,6,10,4,1
43,0,0,0,0
247,2,4,1,0
516,9,2,4,1
186,6,12,4,1
123,3,2,2,0
809,2,28,6,1
251,2,2,2,0
212,3,7,0,0
100,2,10,2,1
110,1,2,0,0
82,7,28,9,1
136,4,1,2,0
180,2,5,8,1
538,3,20,5,1
399,1,2,0,0
857,7,6,9,1
218,2,5,0,0
195,3,12,9,1
174,7,12,10,1
151,1,3,2,0
184,9,6,3,1
182,1,0,1,0
48,1,1,0,0
414,3,14,3,1
228,1,0,2,0
137,4,2,0,0
996,8,7,7,1
187,0,2,0,0
170,6,25,1,1
551,3,29,6,1
232,2,30,6,1
165,1,2,1,0
432,9,29,10,1
27,0,2,0,0
227,1,0,4,0
426,1,3,1,0
253,0,2,5,0
431,9,21,2,1
960,9,19,8,1
241,2,10,2,0
156,3,11,6,1
134,5,3,10,1
158,2,8,3,1
296,2,8,1,0
959,5,21,5,1
119,1,11,5,1
425,1,2,0,0
589,2,3,10,1
175,5,6,9,1
721,4,21,9,1
371,2,9,5,1
277,9,24,8,1
189,10,26,4,1
241,2,3,1,0
263,2,3,0,0
203,2,2,0,0
463,8,7,8,1
205,1,8,0,0
193,0,0,2,0
354,5,6,4,1
29,4,2,0,0
599,4,15,10,1
239,1,0,2,0
688,7,29,3,1
948,5,26,1,1
777,3,28,3,1
686,8,14,10,1
220,2,1,1,0
188,2,17,9,1
101,0,9,2,0
300,5,3,6,1
121,10,19,0,1
444,7,15,7,1
168,3,6,0,1
670,2,13,10,1
242,1,1,4,0
917,6,2,3,1
115,1,2,0,0
137,2,0,6,1
99,2,3,3,0
70,5,13,6,1
179,2,20,0,1
194,2,5,1,0
694,1,29,5,1
689,10,27,9,1
695,2,0,3,1
133,2,1,0,1
789,0,14,0,1
406,6,13,1,1
118,9,10,5,1
56,1,2,2,0
20,2,3,0,0
78,2,3,2,0
48,2,0,5,0
51,5,7,2,0
231,9,22,5,1
144,0,0,9,1
260,1,1,0,0
526,2,24,6,1
223,0,0,0,0
458,6,5,6,1
174,1,0,4,1
927,1,21,5,1
558,6,0,10,1
298,3,22,8,1
792,3,28,9,1
176,0,7,6,0
717,8,22,7,1
204,2,3,0,0
328,0,12,6,1
761,3,8,4,1
174,0,2,1,0
797,9,9,6,1
755,10,26,5,1
216,0,2,2,0
120,5,2,1,0
652,8,3,6,1
955,8,16,10,1
169,2,0,2,0
656,9,13,3,1
87,0,0,1,0
62,1,18,2,1
159,0,2,1,0
75,0,0,2,0
133,0,1,1,0
296,2,1,2,0
309,3,3,10,1
528,4,17,7,1
47,2,0,2,0
157,0,23,8,1
434,4,8,7,1
228,1,0,0,0
714,2,16,9,1
318,4,25,6,1
135,5,3,0,0
857,2,25,0,1
76,9,14,10,1
127,4,3,1,0
146,0,2,0,0
122,2,3,2,0
204,2,0,2,0
307,7,7,3,1
20,1,1,2,0
90,4,27,10,1
828,8,12,4,1
451,2,18,7,1
294,4,15,9,1
621,10,28,2,1
774,2,14,7,1
730,3,17,10,1
180,7,21,4,1
245,2,1,2,0
222,2,0,0,0
125,2,3,6,0
987,1,2,1,1
25,0,2,0,0
259,0,1,6,0
314,0,2,0,0
229,3,24,6,1
164,2,0,8,1
419,1,2,0,0
297,9,14,3,1
267,0,3,6,0
776,7,28,7,1
242,4,0,1,0
279,2,2,5,0
71,1,2,2,0
23,0,1,5,0
965,10,10,8,1
364,10,24,8,1
146,3,11,4,1
171,4,1,6,1
83,3,0,0,0
292,5,2,1,0
165,1,10,1,0
56,1,4,0,0
633,8,19,7,1
314,8,28,2,1
617,2,14,6,1
45,2,1,5,0
635,7,23,1,1
475,5,8,3,1
54,7,14,4,1
176,0,3,0,0
336,3,3,4,0
61,8,7,4,1
440,4,4,2,0
124,1,1,2,0
42,2,3,1,0
37,2,2,2,0
25,2,3,1,0
314,0,8,5,1
132,3,9,9,1
289,2,3,0,0
884,9,30,10,1
651,10,1,9,1
580,3,26,3,1
62,1,1,2,0
652,10,12,6,1
174,1,2,2,0
860,5,16,6,1
118,4,6,10,1
531,3,25,3,1
181,0,2,2,0
179,2,10,0,0
100,2,2,1,0
392,0,19,1,1
172,2,0,1,0
38,1,3,2,0
70,2,0,1,0
214,0,7,1,0
297,2,0,1,0
865,10,5,6,1
126,0,0,1,0
619,2,29,8,1
368,2,26,9,1
162,0,3,1,0
101,9,16,3,1
230,3,14,7,1
161,5,5,0,0
788,7,25,10,1
304,10,12,5,1
140,0,2,1,0
98,8,16,2,1
154,3,27,0,1
103,2,2,2,0
208,5,3,0,0
82,5,2,2,0
192,0,29,4,1
404,1,2,6,0
672,5,23,4,1
701,1,23,7,1
82,3,26,9,1
869,10,8,3,1
889,3,20,7,1
157,8,0,10,1
122,1,3,1,0
202,2,0,0,0
849,0,30,2,1
260,5,2,2,0
192,1,9,2,0
219,1,8,1,1
825,6,21,8,1
187,2,0,2,0
156,1,0,2,0
283,2,0,3,0
971,0,13,3,1
565,7,15,5,1
990,3,6,5,1
162,9,4,10,1
168,4,2,1,0
849,1,10,0,1
269,1,3,3,0
170,10,26,6,1
522,9,16,10,1
832,4,25,7,1
93,9,22,1,1
452,10,3,4,1
30,0,1,1,0
112,2,2,0,0
830,9,23,10,1
49,0,8,1,0
977,7,8,4,1
72,2,19,4,1
432,2,2,4,0
515,3,14,10,1
79,4,0,2,0
606,10,17,7,1
217,2,10,0,0
497,6,2,4,1
189,5,5,7,1
683,5,0,2,1
97,7,4,6,1
254,1,1,0,0
213,2,10,4,0
246,9,19,3,1
324,0,8,3,0
246,1,7,0,0
887,10,16,3,1
217,8,0,10,1
740,8,14,6,1
37,1,2,2,0
264,0,0,2,0
25,0,2,0,0
197,0,2,0,0
74,0,2,0,0
92,6,11,10,1
141,1,2,1,0
238,1,2,1,0
622,9,22,7,1
118,2,3,0,0
219,0,2,1,0
47,2,0,2,0
431,4,5,5,1
184,5,1,2,0
574,4,27,8,1
106,0,3,0,0
511,3,15,10,1
100,3,11,8,1
290,1,7,1,0
356,10,3,9,1
95,6,8,7,1
177,2,1,1,0
133,1,2,2,0
288,3,6,1,0
625,3,2,10,1
398,1,0,1,0
129,6,20,1,1
211,1,0,0,0
236,0,1,3,0
383,0,3,1,0
273,2,2,5,0
431,6,20,10,1
647,7,22,9,1
799,7,28,5,1
201,0,7,2,0
438,1,3,5,0
190,3,3,2,0
119,8,24,8,1
141,2,3,0,0
262,1,2,0,0
111,0,3,3,0
785,4,22,6,1
819,3,28,0,1
486,9,27,3,1
200,1,1,1,0
29,1,1,1,0
76,4,8,8,1
33,1,2,2,0
297,10,22,7,1
116,1,5,0,0
92,0,1,2,0
370,1,1,0,0
186,2,2,2,0
275,2,2,2,0
118,1,1,2,0
71,2,2,1,0
236,1,19,3,1
256,0,1,2,0
637,8,26,10,1
888,2,4,3,1
836,1,24,8,1
72,9,25,3,1
86,0,5,0,0
181,8,6,6,1
188,2,9,3,0
498,7,10,5,1
87,0,3,0,0
189,2,3,2,0
732,10,18,8,1
316,3,3,5,1
290,0,0,2,0
732,2,13,3,1
173,10,22,8,1
279,6,10,7,1
177,0,1,1,0
730,8,20,4,1
248,4,10,1,0
233,4,8,2,0
514,5,7,10,1
414,4,13,10,1
140,1,5,4,0
410,5,0,10,1
359,2,1,0,0
876,7,0,8,1
220,9,24,2,1
107,2,0,2,0
145,1,3,2,0
910,8,4,1,1
286,0,9,1,0
125,0,0,0,0
172,0,1,2,0
350,6,1,7,1
121,2,10,3,1
328,2,23,3,1
85,0,3,1,0
196,1,1,2,0
108,4,16,9,1
677,4,25,3,1
177,3,19,4,1
431,6,15,9,1
157,2,0,2,0
210,3,5,0,0
124,9,7,6,1
170,6,6,8,1
36,2,1,3,0
261,2,0,2,0
708,3,7,8,1
132,0,0,1,0
371,3,8,6,0
248,10,3,3,1
794,2,6,9,1
178,0,0,1,0
228,2,8,0,0
229,1,3,2,0
113,0,6,6,0
642,5,6,6,1
60,0,0,0,0
140,3,24,8,1
94,1,3,0,0
216,1,1,2,0
95,1,3,1,0
288,5,1,2,0
59,5,3,1,0
636,7,21,7,1
158,3,0,1,0
367,3,2,2,0
853,10,18,3,1
388,7,24,2,1
197,0,1,6,0
171,0,3,1,0
694,7,25,10,1
107,4,18,8,1
869,2,18,1,1
858,8,8,4,1
65,0,4,2,0
149,1,7,2,0
225,3,2,1,0
276,1,7,2,0
238,3,11,9,1
59,2,0,0,0
880,1,17,7,1
751,5,17,8,1
188,7,10,7,1
105,1,2,2,0
164,1,3,1,0
284,2,3,4,0
732,4,11,1,1
176,8,24,1,1
796,3,25,2,1
678,3,22,3,1
151,1,2,6,0
187,2,4,3,0
560,3,22,9,1
956,9,10,10,1
135,3,17,9,1
51,7,9,9,1
777,5,0,7,1
53,2,16,6,1
93,1,5,2,0
799,2,5,8,1
765,6,9,7,1
270,2,2,2,0
623,8,10,2,1
429,4,21,9,1
200,2,2,0,0
153,8,6,6,1
145,1,3,0,0
258,2,1,4,1
573,5,27,4,1
671,6,18,0,1
130,2,11,3,1
68,1,1,1,0
473,10,11,4,1
71,6,14,5,1
77,2,5,3,1
280,2,3,2,0
479,1,0,1,0
62,0,3,3,0
73,0,0,0,0
176,5,4,4,1
352,4,15,4,1
120,0,2,0,0
824,1,0,8,1
207,0,8,1,0
399,9,21,2,1
259,1,0,0,0
866,3,15,3,1
261,1,4,1,0
281,0,30,4,1
173,1,2,1,0
98,6,3,6,1
536,9,5,10,1
307,4,26,10,1
778,4,28,6,1
295,2,1,3,0
174,2,1,1,0
208,2,1,0,0
115,8,15,9,1
349,3,6,10,1
179,4,1,2,0
214,0,3,1,0
205,1,0,2,0
184,8,2,6,1
426,0,2,1,0
672,10,7,10,1
335,0,10,9,1
278,0,2,1,0
544,1,15,5,1
245,5,2,0,0
716,4,9,8,1
531,3,17,7,1
61,1,2,1,0
749,1,4,3,1
657,1,17,3,1
290,1,3,6,0
269,0,1,0,0
262,1,2,5,0
242,2,2,2,0
493,2,5,1,0
270,0,4,5,0
930,4,13,3,1
78,8,17,2,1
180,8,30,9,1
515,3,9,1,1
216,10,24,3,1
259,3,15,6,1
311,9,29,3,1
86,2,1,2,0
299,0,2,0,0
908,2,27,9,1
39,0,0,1,0
763,6,1,3,1
136,4,16,10,1
36,0,3,2,0
317,5,8,4,1
43,0,1,1,0
268,4,1,1,0
245,2,2,2,0
145,0,0,1,0
174,1,3,2,0
261,1,2,2,0
184,2,4,1,0
270,1,2,0,0
256,2,3,2,0
221,0,6,1,0
220,3,13,3,1
300,9,4,6,1
110,6,10,8,1
415,5,3,1,0
195,5,23,2,1
474,6,7,7,1
184,5,27,10,1
143,10,28,8,1
109,1,3,0,0
89,10,28,4,1
191,10,25,3,1
108,10,24,10,1
358,0,21,6,1
297,2,13,7,1
153,2,0,4,0
632,5,29,5,1
379,1,0,0,0
55,3,26,7,1
977,3,5,6,1
209,3,3,3,0
637,3,30,1,1
281,2,1,1,0
242,1,2,1,0
90,2,21,6,1
184,0,18,5,1
565,6,7,7,1
752,6,24,3,1
249,7,6,3,1
223,1,6,3,0
110,3,0,2,0
270,1,3,0,0
108,10,20,5,1
182,1,1,1,0
436,10,10,1,1
438,2,3,2,0
74,0,1,1,0
75,0,2,10,1
302,7,15,0,1
183,8,13,9,1
997,6,6,7,1
123,3,5,4,1
64,1,4,2,0
154,4,28,7,1
25,5,2,1,0
215,2,0,4,0
50,1,1,0,0
140,8,15,5,1
519,6,8,6,1
488,8,20,1,1
299,1,2,0,0
459,7,27,3,1
273,1,0,2,0
105,7,21,3,1
261,10,27,6,1
393,4,6,9,1
956,6,5,7,1
189,2,2,2,0
710,9,14,0,1
278,2,3,1,0
646,4,25,9,1
56,9,11,8,1
429,2,2,1,0
81,5,23,3,1
476,2,3,3,0
750,2,13,6,1
388,3,21,9,1
560,9,11,0,1
244,2,0,1,0
872,5,0,10,1
458,5,22,9,1
436,9,29,5,1
314,7,24,2,1
953,8,9,4,1
850,6,4,3,1
224,1,6,2,0
53,2,0,2,0
193,2,0,8,1
297,0,2,2,0
154,5,0,2,0
102,2,5,10,1
213,7,7,2,1
479,1,0,1,0
272,0,3,0,0
217,0,9,2,0
336,2,9,9,1
394,8,1,3,1
493,3,0,2,0
126,4,3,1,0
464,2,3,1,1
148,2,1,1,0
470,1,18,9,1
414,3,26,10,1
82,2,3,2,0
772,4,14,2,1
274,0,1,1,0
303,2,12,9,1
212,4,3,0,0
171,1,2,0,0
257,0,2,0,0
129,1,1,2,0
117,7,9,10,1
217,3,18,9,1
534,1,29,3,1
109,2,10,0,1
188,6,19,7,1
255,1,1,0,0
951,9,2,4,1
528,2,12,0,1
211,1,2,0,0
434,8,20,9,1
294,2,3,5,0
943,7,30,4,1
226,0,3,0,0
791,9,27,6,1
83,0,3,2,0
66,2,0,6,0
559,4,19,4,1
380,2,5,2,0
204,1,1,3,0
138,0,3,0,0
159,2,1,2,0
37,1,3,2,0
118,5,30,7,1
242,0,0,2,0
179,5,7,8,1
181,7,30,6,1
130,6,23,4,1
282,1,1,1,0
210,4,0,1,0
133,0,10,2,0
96,0,3,1,0
150,0,1,1,0
395,1,3,4,0
272,1,0,0,0
493,9,6,9,1
250,1,4,1,0
240,0,2,1,0
268,0,0,2,0
51,2,1,0,0
183,4,2,3,0
502,10,27,6,1
609,6,5,2,1
327,2,0,10,1
162,8,12,8,1
184,2,0,2,0
662,5,6,7,1
427,0,29,4,1
155,2,25,8,1
214,2,3,0,0
113,0,2,4,0
425,0,2,1,0
194,2,2,4,0
231,0,1,2,0
501,7,7,5,1
748,10,17,1,1
249,0,3,2,0
63,0,17,4,1
882,9,23,2,1
546,0,22,7,1
628,2,15,4,1
274,0,19,6,1
306,5,8,0,0
180,5,10,0,0
912,9,5,9,1
157,3,13,9,1
27,0,1,2,0
275,1,2,2,0
277,8,15,3,1
411,2,3,2,0
82,10,8,0,1
553,4,25,4,1
441,7,27,1,1
89,1,3,2,0
217,2,1,1,0
78,5,19,3,1
161,5,8,6,1
212,4,1,10,1
481,10,22,6,1
313,1,2,1,0
209,3,0,0,0
475,1,7,7,1
259,1,7,2,0
895,5,21,4,1
122,1,1,1,0
601,5,14,0,1
35,0,1,0,0
420,3,20,1,1
317,0,5,0,0
155,0,7,0,0
217,0,0,1,0
288,0,3,2,0
893,1,26,8,1
672,5,13,10,1
859,8,15,0,1
452,5,24,3,1
157,2,2,8,1
346,0,2,9,1
62,0,10,2,0
164,2,26,10,1
179,2,3,0,0
260,8,5,4,1
54,2,0,0,0
728,2,22,3,1
193,0,0,2,0
200,2,3,0,0
115,4,10,0,0
160,1,2,2,0
279,9,14,3,1
991,5,26,3,1
443,1,28,6,1
81,10,24,4,1
836,3,6,3,1
236,2,1,2,0
266,1,1,0,0
51,0,2,2,0
879,8,19,6,1
166,2,5,4,1
214,2,0,0,0
259,0,3,1,0
50,9,7,5,1
962,2,19,8,1
76,4,0,2,0
741,3,13,10,1
969,4,26,6,1
816,0,28,10,1
22,1,3,4,0
241,2,5,4,1
100,7,21,6,1
199,5,17,2,1
162,0,0,0,0
289,1,2,0,0
471,2,9,6,1
265,2,2,4,0
144,8,27,10,1
541,7,1,3,1
97,2,3,0,0
823,4,7,10,1
207,2,2,2,0
416,2,0,4,0
100,0,3,1,0
576,6,2,5,1
68,1,1,2,0
447,1,8,2,0
174,6,29,5,1
121,7,5,8,1
318,2,3,0,0
382,1,14,0,1
224,0,3,2,0
198,6,19,1,1
119,9,9,10,1
80,2,3,0,0
928,6,10,9,1
914,10,5,10,1
58,0,2,2,0
126,3,21,9,1
273,0,1,2,0
421,2,3,0,0
25,2,7,0,0
131,10,16,7,1
379,0,1,0,0
134,9,2,6,1
189,1,2,1,0
31,0,3,1,0
247,1,1,4,0
832,8,2,10,1
268,0,2,2,0
935,9,8,3,1
867,8,26,10,1
374,3,17,3,1
280,2,2,2,0
289,0,1,1,0
245,4,16,0,1
208,2,1,1,0
180,3,2,0,0
119,2,9,6,1
988,6,0,3,1
909,4,25,4,1
378,2,2,1,0
38,2,6,1,0
454,2,0,5,0
209,1,2,2,0
225,0,3,6,0
71,1,24,9,1
265,2,1,2,0
768,9,4,2,1
78,0,1,2,0
427,1,1,5,0
405,9,1,4,1
64,5,9,2,1
50,10,0,4,1
602,6,12,10,1
294,0,1,2,0
184,2,3,2,0
60,4,0,0,0
632,0,24,4,1
269,4,1,2,0
129,1,8,2,0
60,2,3,2,0
72,2,3,2,0
258,5,9,2,0
421,10,9,3,1
200,4,0,2,0
163,3,1,4,0
281,1,3,0,0
175,2,2,2,0
464,2,3,1,0
161,6,22,3,1
190,1,1,1,0
441,0,3,2,0
504,2,29,7,1
119,2,0,5,0
255,2,0,0,0
204,0,3,1,0
93,4,0,6,0
288,1,2,4,0
410,0,0,2,0
202,1,1,1,0
554,0,28,10,1
707,9,17,8,1
148,2,9,5,1
70,2,3,0,0
48,2,9,1,0
243,1,3,0,0
108,1,3,2,0
166,9,29,7,1
240,1,1,1,0
156,1,3,2,0
223,9,30,1,1
144,6,8,4,1
290,3,2,2,0
128,1,3,0,0
87,1,3,1,0
178,1,1,1,0
125,2,6,0,0
105,1,3,5,0
558,0,10,5,1
195,2,28,3,1
460,5,19,4,1
346,1,4,5,0
393,8,10,3,1
153,1,1,1,0
117,2,24,5,1
659,1,13,5,1
877,9,20,5,1
166,2,7,1,0
283,0,2,1,0
21,0,1,1,0
141,6,1,0,1
81,10,0,8,1
124,4,1,5,1
339,2,1,2,0
932,6,7,5,1
30,0,2,4,0
838,2,2,3,1
640,2,29,7,1
153,5,0,0,0
944,3,23,7,1
295,2,1,1,0
103,10,5,7,1
158,1,2,2,0
152,2,1,6,0
325,9,11,5,1
435,0,1,2,0
791,2,30,1,1
143,4,21,2,1
597,10,4,7,1
724,6,0,10,1
167,0,2,0,0
169,0,0,2,0
519,6,5,10,1
375,2,0,2,0
95,8,13,3,1
444,8,0,6,1
134,9,2,8,1
165,1,2,0,0
73,0,3,1,0
208,0,0,0,0
937,2,10,7,1
74,3,12,4,1
574,10,21,7,1
299,5,27,10,1
301,8,23,10,1
906,2,2,2,1
54,2,11,5,1
99,10,8,7,1
757,9,30,3,1
216,0,6,6,0
498,10,17,7,1
65,1,5,2,0
622,5,1,7,1
292,2,3,0,0
786,8,9,0,1
438,3,1,3,1
204,1,2,0,0
175,1,3,1,0
173,2,1,1,0
239,2,26,10,1
209,4,2,4,1
141,9,5,1,1
176,2,1,2,0
68,1,1,6,0
957,1,9,2,1
189,0,3,1,0
865,2,14,4,1
269,0,7,0,0
959,3,13,10,1
369,0,3,2,0
250,10,29,5,1
142,0,0,1,0
110,5,0,1,0
834,0,9,6,1
217,2,1,2,0
610,8,20,5,1
846,2,23,1,1
82,2,2,1,0
165,5,23,0,1
389,1,27,2,1
197,0,3,0,0
679,7,14,7,1
64,1,2,2,0
181,2,12,2,1
294,0,2,1,0
257,1,8,0,0
127,2,30,4,1
246,5,9,3,1
62,0,3,2,0
45,0,2,0,0
46,1,5,1,0
612,6,9,0,1
140,2,0,1,0
189,0,2,0,0
247,2,2,0,0
216,7,23,10,1
122,8,12,8,1
177,6,20,3,1
244,2,1,2,0
935,8,12,5,1
195,7,17,5,1
65,6,16,10,1
947,8,23,4,1
385,4,12,3,1
396,5,7,9,1
83,2,1,0,0
643,5,27,6,1
332,7,5,6,1
202,2,3,0,0
75,1,0,2,0
242,2,2,1,0
138,2,28,7,1
517,6,19,4,1
150,4,16,0,1
275,0,9,1,0
406,0,1,0,0
246,0,1,2,0
299,7,10,8,1
696,6,7,4,1
268,2,2,1,0
575,5,27,4,1
34,2,1,0,0
778,3,10,3,1
88,2,2,0,0
236,0,2,0,0
232,1,2,0,0
275,0,0,3,0
51,1,2,0,0
624,9,11,9,1
80,4,19,6,1
186,0,2,1,0
439,3,27,9,1
212,1,3,1,0
279,2,1,1,0
219,1,2,2,0
599,2,18,9,1
260,1,2,2,0
508,5,24,8,1
745,2,10,8,1
213,2,1,1,0
333,2,0,2,0
211,0,18,0,1
59,0,2,1,0
40,2,1,1,0
125,1,0,2,0
289,9,4,10,1
28,1,2,2,0
400,0,10,0,0
81,1,8,0,0
199,2,2,0,0
228,2,8,6,0
131,1,0,1,0
192,3,16,3,1
315,3,21,3,1
383,10,10,1,1
69,0,2,2,0
401,0,3,2,0
63,1,2,0,0
689,10,21,1,1
174,5,6,2,0
78,6,17,6,1
347,0,3,1,0
200,1,5,1,0
152,1,3,2,0
750,6,21,2,1
140,10,21,9,1
88,3,2,2,0
205,1,2,0,0
231,0,4,2,0
181,0,4,1,0
76,3,5,9,1
113,10,9,6,1
119,10,13,5,1
771,0,12,8,1
716,3,28,1,1
85,2,0,2,0
85,5,1,1,0
106,5,3,1,0
206,4,20,6,1
266,1,3,2,0
757,8,0,6,1
832,4,16,1,1
160,2,1,2,0
923,4,20,5,1
553,3,9,10,1
123,9,2,3,1
401,0,1,0,0
158,1,10,1,0
255,2,3,2,0
666,3,20,4,1
930,0,8,7,1
810,4,15,5,1
532,7,25,4,1
338,2,2,0,0
188,3,5,4,1
208,2,0,2,0
568,8,20,0,1
127,1,1,1,0
501,2,9,8,1
451,1,2,1,0
177,1,1,2,0
45,2,3,2,0
904,3,23,7,1
88,7,24,7,1
166,0,0,2,0
66,0,1,0,0
138,6,26,0,1
170,5,1,0,0
981,3,13,7,1
31,1,0,0,0
235,0,1,3,0
934,7,11,4,1
120,3,20,4,1
890,10,28,8,1
166,0,1,3,0
151,4,10,1,0
146,4,28,5,1
129,0,3,6,0
38,1,3,2,0
168,2,7,2,0
557,2,25,1,1
839,1,27,10,1
442,0,23,5,1
592,9,26,6,1
288,4,0,4,0
92,2,5,1,1
461,1,2,0,0
53,2,2,2,0
206,0,2,0,0
413,8,28,4,1
145,3,26,3,1
718,7,26,3,1
415,4,21,10,1
